1,2,3
1,2,3
2,3,4
3,5,6
3,4,6
1,2,3
1,2,3
2,3,4
1,3,4
1,2,4
4,5,6
6,7,8
6,7,8
4,8,9
6,7,10
3,4,6
5,6,7
1,3,5
1,2,4
1,2,3
20,21,22
2,5,6
1,2,3
9,10,11
16,17,18
12,13,14
12,13,14
20,21,22
12,13,14
19,20,21
1,2,4
11,18,19
4,5,6
13,14,15
4,5,6
6,7,8
12,20,21
16,19,20
17,18,19
2,13,14
5,6,7
17,18,19
20,21,22
5,12,13
4,5,6
1,6,7
13,14,15
7,10,11
5,6,7
1,2,3
5,6,7
3,18,19
1,2,3
3,5,6
20,21,22
9,10,11
14,15,16
17,18,19
7,14,15
13,14,15
5,6,7
15,16,17
14,15,16
18,19,20
15,16,17
18,19,20
2,3,4
15,16,17
1,2,3
2,3,4
20,21,22
12,13,14
4,5,6
19,20,21
15,16,17
1,2,3
4,5,6
10,11,12
10,11,12
19,20,21
6,7,8
15,16,17
16,17,18
19,20,21
12,17,18
19,20,21
16,17,18
3,4,5
6,7,8
15,16,17
4,6,7
10,11,12
12,13,14
12,13,14
11,12,13
19,20,21
14,15,16
12,18,19
3,9,10
7,8,9
3,8,9
4,10,11
1,2,3
2,3,4
9,10,11
12,13,14
1,2,3
13,16,17
1,2,3
5,6,7
20,21,22
3,4,5
11,12,13
1,2,3
13,14,15
5,9,10
15,16,17
14,15,16
19,20,21
3,4,5
15,20,21
7,8,9
19,20,21
17,18,19
4,6,7
5,6,7
4,5,6
7,8,9
5,6,7
5,6,7
17,18,19
8,13,14
13,14,15
9,10,11
20,21,22
1,2,3
10,11,12
10,15,16
10,11,12
1,2,3
16,17,18
8,9,10
18,19,20
8,9,10
1,2,3
9,10,11
13,14,15
5,7,8
10,11,12
1,2,3
7,8,9
2,3,4
2,15,16
12,13,14
16,17,18
19,20,21
1,2,3
20,21,22
2,17,18
3,4,5
10,11,12
10,12,13
1,2,3
7,8,9
15,16,17
3,4,5
7,8,9
8,9,10
4,5,6
10,11,12
10,11,12
18,19,20
20,21,22
8,9,10
1,3,4
3,16,17
2,17,18
1,2,3
6,10,11
19,20,21
1,2,3
2,10,11
18,19,20
3,4,5
11,14,15
1,2,3
17,18,19
1,3,4
16,17,18
17,18,19
17,18,19
1,2,3
5,6,7
1,10,11
7,8,9
11,12,13
1,2,3
11,12,13
1,2,3
15,16,17
6,7,9
5,16,17
14,15,16
1,2,3
2,14,15
18,19,20
2,3,4
8,9,10
6,15,16
11,12,13
1,2,3
12,13,14
18,19,20
14,15,16
17,18,19
16,17,18
15,16,17
9,10,11
14,15,16
4,5,6
2,3,4
1,2,3
14,15,16
10,11,12
6,7,8
6,11,12
10,15,16
12,13,14
1,3,4
1,6,7
4,6,7
8,9,10
2,8,9
4,5,6
6,15,16
6,7,8
1,2,3
4,7,8
5,6,7
7,8,9
8,10,11
7,8,9
13,14,15
5,6,7
8,9,10
15,16,17
1,2,3
16,17,18
9,10,11
13,14,15
16,17,18
7,8,9
9,10,11
3,4,5
1,2,3
1,2,3
13,14,15
5,6,7
2,3,4
13,20,21
18,19,20
20,21,22
1,2,3
14,17,18
2,16,17
15,16,17
2,3,4
10,18,19
9,14,15
1,2,3
2,3,4
13,14,15
1,2,3
7,8,9
2,5,6
1,4,5
6,7,8
14,15,16
9,12,13
4,5,6
14,15,16
4,9,10
3,4,5
8,9,10
11,12,13
2,3,4
10,11,12
11,12,13
19,20,21
4,5,6
8,9,10
16,19,20
13,14,15
4,7,8
14,15,16
2,10,11
20,21,22
7,8,9
6,15,16
6,12,13
8,9,10
9,10,11
1,2,3
19,20,21
19,20,21
8,9,10
4,5,6
10,11,12
10,11,12
11,12,13
1,2,3
4,5,6
13,14,15
4,5,6
16,17,18
1,2,3
4,5,6
17,18,19
2,3,4
6,7,8
2,4,5
2,3,4
16,17,18
3,4,5
13,14,15
16,17,18
11,12,13
6,7,8
15,16,17
9,10,11
18,19,20
18,19,20
9,10,11
19,20,21
16,17,18
6,7,8
12,13,14
14,15,16
5,6,7
20,21,22
6,7,8
10,11,12
10,11,12
18,19,20
20,21,22
12,13,14
5,6,7
